country,Coastline
India,7000
China,14500
United States,19924
Indonesia,54716
Pakistan,1046
Nigeria,853
Brazil,7491
Bangladesh,580
Russia,37653
Mexico,9330
Japan,29751
Philippines,36289
Egypt,2450
Vietnam,3444
Iran,2440
Turkey,7200
Germany,2389
Thailand,3219
Tanzania,1424
United Kingdom,12429
France,4853
South Africa,2798
Italy,7600
Kenya,536
Myanmar,1930
Colombia,3208
South Korea,2413
Sudan,853
Spain,4964
Iraq,58
Algeria,998
Argentina,4989
Poland,440
Canada,202080
Morocco,2945
Ukraine,2782
Angola,1600
Saudi Arabia,2640
Yemen,1906
Mozambique,2470
Ghana,539
Peru,2414
Malaysia,4675
Madagascar,4828
Ivory Coast,515
Venezuela,2800
Cameroon,402
Australia,25760
North Korea,2495
Syria,193
Taiwan,1566
Sri Lanka,1340
Chile,6435
Romania,225
Somalia,3333
Ecuador,2237
Guatemala,400
Senegal,531
Netherlands,451
Cambodia,443
Guinea,320
Benin,121
Tunisia,1148
Haiti,1771
Belgium,67
Dominican Republic,1288
Jordan,26
Cuba,3735
Honduras,832
Sweden,3218
Papua New Guinea,5152
Greece,13676
Portugal,1793
United Arab Emirates,1318
Israel,273
Togo,56
Sierra Leone,402
Hong Kong,733
Nicaragua,910
Libya,1770
Bulgaria,354
El Salvador,307
Republic of the Congo,169
Singapore,193
Denmark,7314
Finland,1250
Liberia,579
Norway,83281
Palestine,40
New Zealand,15134
Costa Rica,1290
Lebanon,225
Ireland,1448
Mauritania,754
Oman,2092
Panama,2490
Kuwait,499
Croatia,5835
Eritrea,2234
Georgia,310
Uruguay,660
Puerto Rico,501
Bosnia and Herzegovina,20
Gambia,80
Albania,362
Jamaica,1022
Qatar,563
Lithuania,90
Namibia,1572
Gabon,885
Guinea-Bissau,350
Slovenia,47
Latvia,498
Equatorial Guinea,296
Trinidad and Tobago,362
Bahrain,161
Timor-Leste,706
Estonia,3794
Mauritius,177
Cyprus,648
Djibouti,314
Fiji,1129
Comoros,340
Guyana,459
Solomon Islands,5313
Macau,41
Suriname,386
Montenegro,294
Cape Verde,965
Malta,253
Maldives,644
Brunei,161
Belize,386
Bahamas,3542
Iceland,4970
Vanuatu,2528
French Polynesia,2525
New Caledonia,2254
Barbados,97
Samoa,403
Saint Lucia,158
Guam,126
Kiribati,1143
Grenada,121
Micronesia,6112
Jersey,70
Tonga,419
Seychelles,491
Aruba,69
Saint Vincent and the Grenadines,84
United States Virgin Islands,188
Antigua and Barbuda,153
Isle of Man,160
Dominica,148
Cayman Islands,160
Bermuda,103
Guernsey,50
Greenland,44087
Faroe Islands,1117
Northern Mariana Islands,1482
Saint Kitts and Nevis,135
Turks and Caicos Islands,389
American Samoa,116
Marshall Islands,370
Monaco,4
Gibraltar,12
Saint Martin,59
British Virgin Islands,80
Palau,1519
Cook Islands,120
Anguilla,61
Nauru,30
Tuvalu,24
Wallis and Futuna,129
Saint Pierre and Miquelon,120
Montserrat,40
Falkland Islands,1288
Niue,64
Tokelau,101
