country,n_articles
United States,194938
China,100367
United Kingdom,68446
Germany,48998
Australia,42684
France,39804
Canada,39148
Japan,34456
Italy,31002
India,30991
Spain,28718
Netherlands,19068
Norway,18834
South Korea,16806
Brazil,15762
Russian Federation,15107
Sweden,13649
Denmark,12439
New Zealand,10664
Switzerland,10655
Portugal,10617
Indonesia,10337
Taiwan,8568
Belgium,8457
Greece,8261
Malaysia,8201
Iran,7756
Turkey,7609
South Africa,7218
Poland,7135
Mexico,6915
Egypt,6538
Saudi Arabia,6275
Finland,5943
Israel,5662
Austria,5045
Hong Kong,5020
Chile,4932
Ireland,4462
Singapore,4324
Argentina,4036
Thailand,3443
Viet Nam,2990
Czech Republic,2809
United Arab Emirates,2791
Croatia,2785
Bangladesh,2758
Pakistan,2587
Romania,2226
Nigeria,2177
Philippines,2108
Colombia,1898
Tunisia,1838
Morocco,1794
Hungary,1524
Ukraine,1500
Estonia,1429
Iceland,1255
Kenya,1209
Algeria,1193
Slovenia,1113
Iraq,1061
Peru,1050
Kuwait,1032
Qatar,1027
Cyprus,1012
Bulgaria,1004
Ecuador,989
Fiji,936
Sri Lanka,929
Lithuania,881
Oman,879
Monaco,781
Tanzania,756
New Caledonia,749
Ghana,746
Slovakia,730
Puerto Rico,713
Serbia,707
Jordan,693
Venezuela,651
Panama,637
Uruguay,620
Lebanon,615
Trinidad and Tobago,538
Latvia,533
Ethiopia,530
Cuba,528
Malta,515
Costa Rica,504
Greenland,440
Bermuda,433
French Polynesia,430
Mauritius,427
Kazakhstan,403
Senegal,389
Cameroon,371
Jamaica,354
Cote d'Ivoire,329
Brunei Darussalam,317
Nepal,311
Luxembourg,270
Madagascar,256
Barbados,254
Uzbekistan,241
Namibia,240
Papua New Guinea,227
Mozambique,226
Benin,209
Georgia,207
Libyan Arab Jamahiriya,206
Yemen,202
Seychelles,195
Uganda,195
Solomon Islands,193
Macao,192
Albania,185
Azerbaijan,173
Palestine,172
Syrian Arab Republic,170
Faroe Islands,164
Bahrain,163
Botswana,153
Montenegro,153
Bolivia,152
Bahamas,151
Belarus,150
Myanmar,139
Guam,136
Maldives,135
Sudan,132
Zimbabwe,127
Bosnia and Herzegovina,122
Mongolia,122
Cape Verde,115
Congo,114
Vanuatu,114
Falkland Islands (Malvinas),111
Cambodia,108
Samoa,104
Palau,94
Angola,93
Zambia,92
Armenia,91
Burkina Faso,88
Belize,86
Federated States of Micronesia,86
Guadeloupe,86
Reunion,82
Libya,80
French Guiana,76
Dominican Republic,73
Mauritania,73
Malawi,72
Tonga,71
North Macedonia,69
Guatemala,63
Niger,60
Virgin Islands (U.S.),58
Undefined,39065
