year,n_articles
2024,760
2023,46199
2022,51379
2021,50127
2020,45307
2019,41593
2018,37581
2017,33862
2016,32021
2015,29763
2014,29306
2013,28310
2012,26090
2011,23195
2010,20786
2009,19962
2008,18953
2007,16898
2006,15034
2005,14684
2004,12872
2003,11056
2002,10131
2001,8917
2000,9192
1999,8550
1998,7892
1997,7426
1996,7060
1995,5982
1994,5147
1993,5176
1992,4875
1991,4648
1990,4006
1989,3876
1988,3507
1987,3352
1986,3329
1985,3331
1984,3206
1983,2858
1982,2302
1981,2096
1980,1840
1979,1649
1978,1333
1977,1160
1976,1103
1975,1134
1974,932
1973,940
1972,717
1971,589
1970,535
1969,471
1968,363
1967,352
1966,237
1965,208
1964,197
1963,159
1962,110
1961,100
1960,100
1959,110
1958,71
1957,85
1956,45
1955,69
1954,40
1953,40
1952,34
1951,39
1950,28
1949,36
1948,19
1947,22
1946,15
1945,8
1944,16
1943,10
1942,16
1941,8
1940,15
1939,18
1938,17
1937,22
1936,14
1935,10
1934,7
1933,31
1932,12
1931,17
1930,13
1929,11
1928,11
1927,8
1926,10
1925,6
1924,6
1923,3
1922,4
1921,7
1920,7
1919,7
1918,2
1917,3
1916,2
1915,6
1914,9
1913,3
1912,2
1911,4
1910,6
1909,3
1908,2
1906,1
1905,1
1904,2
1901,2
1899,1
1896,3
1895,2
1894,1
1890,1
1888,1
1883,5
1881,2
1878,1
1875,5
1872,2
1871,1
1870,1
1867,1
1850,1
