Countries/Regions	Record Count	% of 615,801
USA	174377	28.317
PEOPLES R CHINA	99069	16.088
ENGLAND	50688	8.231
GERMANY	48623	7.896
AUSTRALIA	40687	6.607
FRANCE	39489	6.413
CANADA	37390	6.072
JAPAN	30509	4.954
SPAIN	28369	4.607
ITALY	28060	4.557
INDIA	23828	3.869
NETHERLANDS	17677	2.871
NORWAY	16522	2.683
SOUTH KOREA	15546	2.525
BRAZIL	13997	2.273
SWEDEN	13197	2.143
RUSSIA	13190	2.142
DENMARK	11526	1.872
SWITZERLAND	10684	1.735
SCOTLAND	10676	1.734
PORTUGAL	10235	1.662
NEW ZEALAND	9213	1.496
BELGIUM	8351	1.356
TAIWAN	8008	1.300
SOUTH AFRICA	7436	1.208
GREECE	7266	1.180
POLAND	7071	1.148
IRAN	6864	1.115
MEXICO	6847	1.112
TURKEY	6840	1.111
FINLAND	5757	0.935
SAUDI ARABIA	5498	0.893
MALAYSIA	5459	0.886
ISRAEL	5450	0.885
CHILE	5350	0.869
AUSTRIA	5124	0.832
EGYPT	5098	0.828
INDONESIA	4916	0.798
WALES	4348	0.706
ARGENTINA	4212	0.684
IRELAND	3988	0.648
SINGAPORE	3776	0.613
CZECH REPUBLIC	2962	0.481
THAILAND	2703	0.439
CROATIA	2599	0.422
VIETNAM	2452	0.398
PAKISTAN	2360	0.383
BANGLADESH	2258	0.367
ROMANIA	2108	0.342
U ARAB EMIRATES	1811	0.294
TUNISIA	1732	0.281
PHILIPPINES	1654	0.269
COLOMBIA	1643	0.267
NORTH IRELAND	1547	0.251
HUNGARY	1494	0.243
ESTONIA	1464	0.238
NIGERIA	1459	0.237
MOROCCO	1452	0.236
ICELAND	1360	0.221
UKRAINE	1178	0.191
KENYA	1120	0.182
SLOVENIA	1103	0.179
PERU	1008	0.164
ALGERIA	970	0.158
ECUADOR	938	0.152
NEW CALEDONIA	892	0.145
LITHUANIA	870	0.141
BULGARIA	849	0.138
CYPRUS	840	0.136
MONACO	780	0.127
QATAR	764	0.124
FIJI	744	0.121
SLOVAKIA	723	0.117
SRI LANKA	721	0.117
IRAQ	715	0.116
PANAMA	714	0.116
KUWAIT	705	0.114
OMAN	701	0.114
TANZANIA	686	0.111
GHANA	643	0.104
URUGUAY	640	0.104
SERBIA	629	0.102
JORDAN	595	0.097
VENEZUELA	575	0.093
TURKIYE	564	0.092
ETHIOPIA	521	0.085
GREENLAND	512	0.083
COSTA RICA	507	0.082
LEBANON	480	0.078
LATVIA	472	0.077
BERMUDA	452	0.073
CUBA	446	0.072
MALTA	403	0.065
TRINIDAD TOBAGO	371	0.060
SENEGAL	352	0.057
CAMEROON	320	0.052
COTE IVOIRE	315	0.051
KAZAKHSTAN	291	0.047
NEPAL	291	0.047
MAURITIUS	284	0.046
BRUNEI	248	0.040
NAMIBIA	248	0.040
LUXEMBOURG	247	0.040
MADAGASCAR	233	0.038
JAMAICA	227	0.037
MOZAMBIQUE	219	0.036
LIBYA	205	0.033
BARBADOS	203	0.033
BENIN	203	0.033
SEYCHELLES	188	0.031
YEMEN	187	0.030
UZBEKISTAN	181	0.029
UGANDA	173	0.028
BOTSWANA	172	0.028
SOLOMON ISLANDS	166	0.027
AZERBAIJAN	157	0.025
PAPUA N GUINEA	157	0.025
BOLIVIA	154	0.025
USSR	154	0.025
ALBANIA	153	0.025
BAHAMAS	150	0.024
BELARUS	142	0.023
GEORGIA	132	0.021
MONTENEGRO	132	0.021
MALDIVES	125	0.020
MONGOLIA	120	0.019
SUDAN	120	0.019
MYANMAR	119	0.019
ZIMBABWE	118	0.019
BAHRAIN	117	0.019
CAPE VERDE	117	0.019
HONG KONG	115	0.019
VANUATU	113	0.018
SYRIA	108	0.018
CAMBODIA	103	0.017
PALAU	99	0.016
PALESTINE	98	0.016
BOSNIA HERCEG	97	0.016
ARMENIA	96	0.016
FALKLAND ISLAND	92	0.015
DEM REP CONGO	88	0.014
BURKINA FASO	86	0.014
SAMOA	85	0.014
BELIZE	83	0.013
FED REP GER	83	0.013
ZAMBIA	81	0.013
FRENCH GUIANA	80	0.013
MAURITANIA	74	0.012
MICRONESIA	70	0.011
ANGOLA	69	0.011
DOMINICAN REP	68	0.011
MALAWI	64	0.010
GUATEMALA	62	0.010
NIGER	62	0.010
KYRGYZSTAN	59	0.010
REP CONGO	59	0.010
TONGA	55	0.009
LAOS	53	0.009
TAJIKISTAN	53	0.009
HONDURAS	50	0.008
EL SALVADOR	48	0.008
FAROE ISLANDS	48	0.008
GRENADA	48	0.008
GABON	47	0.008
NICARAGUA	47	0.008
MOLDOVA	44	0.007
MALI	43	0.007
NORTH MACEDONIA	43	0.007
RWANDA	41	0.007
GUYANA	40	0.006
CAYMAN ISLANDS	36	0.006
MACEDONIA	35	0.006
YUGOSLAVIA	35	0.006
CURACAO	34	0.006
ST KITTS NEVI	34	0.006
ERITREA	33	0.005
MARSHALL ISLAND	33	0.005
COOK ISLANDS	31	0.005
SURINAME	31	0.005
HAITI	30	0.005
TOGO	30	0.005
DJIBOUTI	29	0.005
NETH ANTILLES	28	0.005
GAMBIA	26	0.004
SIERRA LEONE	25	0.004
COMOROS	24	0.004
AFGHANISTAN	23	0.004
GUINEA	23	0.004
PARAGUAY	22	0.004
GUINEA BISSAU	20	0.003
NORTH KOREA	20	0.003
BURUNDI	19	0.003
KOSOVO	19	0.003
SVALBARD	19	0.003
TIMOR LESTE	19	0.003
