Publication Years	Record Count	% of 615,801
2021	47256	7.674
2022	47080	7.645
2020	42731	6.939
2019	39351	6.390
2023	35438	5.755
2018	35323	5.736
2017	32342	5.252
2016	30221	4.908
2015	27786	4.512
2014	24528	3.983
2013	23173	3.763
2012	20653	3.354
2011	19243	3.125
2010	17285	2.807
2009	16777	2.724
2008	15190	2.467
2007	14057	2.283
2006	12612	2.048
2005	11668	1.895
2004	10659	1.731
2003	10232	1.662
2002	9320	1.513
2001	8801	1.429
2000	8323	1.352
1999	7986	1.297
1998	7477	1.214
1997	6978	1.133
1996	6205	1.008
1995	5535	0.899
1994	4902	0.796
1993	4512	0.733
1992	4187	0.680
1991	3888	0.631
1990	893	0.145
1989	335	0.054
1988	312	0.051
1987	298	0.048
1985	250	0.041
1986	250	0.041
1983	236	0.038
1984	212	0.034
1982	205	0.033
1980	176	0.029
1981	173	0.028
1978	163	0.026
1979	151	0.025
1977	139	0.023
1976	115	0.019
2024	91	0.015
1975	83	0.013
