"","word","place_name","n_articles"
"1","UK","United Kingdom of Great Britain and Northern Ireland",1885
"2","North Sea","North Sea",1309
"3","China","China University of Geosciences",1270
"4","DC","Hilton Washington DC North - Gaithersburg",906
"5","United States","United States",790
"6","Germany","Federal Republic of Germany",690
"7","Australia","Commonwealth of Australia",676
"8","LNG","Toulon",673
"9","Norway","Kingdom of Norway",615
"10","CO2","Bueyeros CO2 Plant Airport",598
"11","USA","Chevron USA Incorporated Seaplane Base",587
"12","Japan","Japan",583
"13","Switzerland","Switzerland",578
"14","atlantic ocean","Atlantic Ocean",561
"15","united kingdom","United Kingdom of Great Britain and Northern Ireland",548
"16","Denmark","Kingdom of Denmark",523
"17","London","London",483
"18","north sea","North Sea",474
"19","Indonesia","Republic of Indonesia",456
"20","India","Republic of India",450
"21","europe","Europe",445
"22","Brazil","Federative Republic of Brazil",439
"23","France","Republic of France",437
"24","Canada","Canada",414
"25","Basel","Basel",405
"26","united states","United States",380
"27","Netherlands","Kingdom of the Netherlands",306
"28","mexico","Mexico",306
"29","Bangladesh","Bangladesh",280
"30","north america","North America",267
"31","Houston","Houston",265
"32","Mexico","Mexico",254
"33","Spain","Kingdom of Spain",253
"34","Malaysia","Malaysia",249
"35","Portugal","Portuguese Republic",244
"36","Taiwan","Taiwan",236
"37","Hawaii","Hawaii",235
"38","australia","Commonwealth of Australia",228
"39","arctic","Arctic Bay",213
"40","Italy","Italian Republic",202
"41","United Kingdom","United Kingdom of Great Britain and Northern Ireland",196
"42","scotland","Scotland",193
"43","Ireland","United Kingdom of Great Britain and Northern Ireland",193
"44","germany","New Germany",192
"45","Korea","Republic of Korea",180
"46","england","England",177
"47","Spartina","Spártina",176
"48","Vietnam","Socialist Republic of Vietnam",175
"49","pacific ocean","South Pacific Ocean",169
"50","mediterranean sea","Mediterranean Sea",168
"51","canada","Canada",166
"52","New Zealand","New Zealand",164
"53","Louisiana","Louisiana",160
"54","Philippines","Republic of the Philippines",160
"55","india","Republic of India",158
"56","indonesia","Republic of Indonesia",155
"57","Sweden","Kingdom of Sweden",152
"58","western europe","Western Europe",150
"59","Texas","Texas",149
"60","Alaska","Alaska",137
"61","japan","Japan",136
"62","U.K.","United Kingdom of Great Britain and Northern Ireland",135
"63","baltic sea","Baltic Sea",131
"64","malaysia","Malaysia",120
"65","taiwan","Taiwan",116
"66","CO2 ocean","Grande Shores Ocean Resorts Con",114
"67","west coast","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary",113
"68","SOC","Sóc Trăng",113
"69","Massachusetts","Massachusetts",112
"70","Washington","Washington",111
"71","spain","Kingdom of Spain",109
"72","Nova Scotia","Nova Scotia",106
"73","netherlands","Kingdom of the Netherlands",106
"74","brazil","Federative Republic of Brazil",104
"75","Singapore","Republic of Singapore",98
"76","New Jersey","New Jersey",96
"77","indian ocean","British Indian Ocean Territory",96
"78","South Korea","Republic of Korea",94
"79","South Africa","Republic of South Africa",91
"80","east coast","East Coast Believers Church",90
"81","louisiana","Louisiana",89
"82","norway","Norway",88
"83","New York","New York",87
"84","Turkey","Republic of Turkey",86
"85","Nigeria","Federal Republic of Nigeria",86
"86","monopile","Monopoli",85
"87","Oregon","Oregon",84
"88","atlantic","Atlantic City",84
"89","Thailand","Kingdom of Thailand",84
"90","Pacific Ocean","North West Pacific Ocean - to the East",83
"91","Orkney","Orkney Islands",83
"92","philippines","Republic of the Philippines",78
"93","northern europe","Northern Europe",78
"94","Berlin","Berlin, Stadt",78
"95","Western Australia","State of Western Australia",77
"96","Russia","Russian Federation",77
"97","Kyoto","Kyoto Prefecture",77
"98","massachusetts","Massachusetts",77
"99","North Carolina","North Carolina",76
"100","bangladesh","Bangladesh",75
"101","Poland","Republic of Poland",73
"102","Severn","Severn",72
"103","Simulink","Samulino",70
"104","u.s.","Dutch Harbor Naval Operating Base and Fort Mears, U.S. Army (historical)",69
"105","Gulf Coast","Mississippi Gulf Coast Community College - Perkinston Campus",67
"106","Mississippi","Mississippi",67
"107","Queensland","State of Queensland",65
"108","Maine","Maine",64
"109","Red Sea","Kempinski Hotel Aqaba Red Sea",64
"110","Kandelia","Candela",64
"111","Greece","Hellenic Republic",63
"112","America","Little America",63
"113","Jiangsu","Jiangsu Sheng",63
"114","Mersey","Trent and Mersey Canal",62
"115","Soc","Sóc Trăng",62
"116","Baltic Sea","Baltic Sea",62
"117","africa","Africa",62
"118","Paris","Paris",61
"119","italy","Louisa",61
"120","Belgium","Kingdom of Belgium",59
"121","Newfoundland","Newfoundland and Labrador",59
"122","New England","New England",58
"123","Angola","Republic of Angola",58
"124","Offshore Wind Farms","Beatrice Offshore Wind Farm",57
"125","hawaii","Hawaii",56
"126","New York City","New York City",56
"127","Saudi Arabia","Kingdom of Saudi Arabia",56
"128","East Coast","East Coast Believers Church",55
"129","Britain","United Kingdom of Great Britain and Northern Ireland",55
"130","south korea","Republic of Korea",55
"131","korea","Republic of Korea",55
"132","Guangdong","Guangdong Sheng",55
"133","Gulf Stream","Gulf Stream",54
"134","Colombia","Puerto Colombia",54
"135","Great Britain","United Kingdom of Great Britain and Northern Ireland",53
"136","north carolina","North Carolina",53
"137","East Coast","Gisborne",52
"138","Finland","Republic of Finland",52
"139","Nysted","Nysted Havmøllepark",52
"140","Rhode Island","Rhode Island",52
"141","Egypt","Arab Republic of Egypt",51
"142","Chesapeake Bay","Hyatt Regency Chesapeake Bay Golf Resort, Spa and Marina",51
"143","Shanghai","Shanghai",51
"144","sweden","Kingdom of Sweden",50
"145","persian gulf","Persian Gulf",50
