,word,place_name,n_articles,true_match,ambiguous,place_name_correct,shp_id_correct
1,UK,United Kingdom of Great Britain and Northern Ireland,1885,TRUE,,,
2,North Sea,North Sea,1309,TRUE,,,
3,China,China University of Geosciences,1270,FALSE,,China,195
4,DC,Hilton Washington DC North - Gaithersburg,906,TRUE,,,
5,United States,United States,790,TRUE,,,
6,Germany,Federal Republic of Germany,690,TRUE,,,
7,Australia,Commonwealth of Australia,676,TRUE,,,
8,LNG,Toulon,673,FALSE,,NA,
9,Norway,Kingdom of Norway,615,TRUE,,,
10,CO2,Bueyeros CO2 Plant Airport,598,FALSE,,NA,
11,USA,Chevron USA Incorporated Seaplane Base,587,FALSE,,United States,16
12,Japan,Japan,583,TRUE,,,
13,Switzerland,Switzerland,578,TRUE,,,
14,atlantic ocean,Atlantic Ocean,561,TRUE,,,
15,united kingdom,United Kingdom of Great Britain and Northern Ireland,548,TRUE,,,
16,Denmark,Kingdom of Denmark,523,TRUE,,,
17,London,London,483,TRUE,,,
18,north sea,North Sea,474,TRUE,,,
19,Indonesia,Republic of Indonesia,456,TRUE,,,
20,India,Republic of India,450,TRUE,,,
21,europe,Europe,445,TRUE,,,
22,Brazil,Federative Republic of Brazil,439,TRUE,,,
23,France,Republic of France,437,TRUE,,,
24,Canada,Canada,414,TRUE,,,
25,Basel,Basel,405,TRUE,,,
26,united states,United States,380,TRUE,,,
27,Netherlands,Kingdom of the Netherlands,306,TRUE,,,
28,mexico,Mexico,306,TRUE,,,
29,Bangladesh,Bangladesh,280,TRUE,,,
30,north america,North America,267,TRUE,,,
31,Houston,Houston,265,TRUE,,,
32,Mexico,Mexico,254,TRUE,,,
33,Spain,Kingdom of Spain,253,TRUE,,,
34,Malaysia,Malaysia,249,TRUE,,,
35,Portugal,Portuguese Republic,244,TRUE,,,
36,Taiwan,Taiwan,236,TRUE,,,
37,Hawaii,Hawaii,235,TRUE,,,
38,australia,Commonwealth of Australia,228,TRUE,,,
39,arctic,Arctic Bay,213,FALSE,,arctic†ocean,5885
40,Italy,Italian Republic,202,TRUE,,,
41,United Kingdom,United Kingdom of Great Britain and Northern Ireland,196,TRUE,,,
42,scotland,Scotland,193,TRUE,,,
