"","oro_type","n","threshold","breakOrder","prop","chisq_pvalue","order","colour"
"1","Built infrastructure & technology",5604,0,1,0.0315409120073843,5.99773157925968e-74,6,"#600787"
"2","Built infrastructure & technology",5604,0.2,3,0.0315805489966244,2.72821161847402e-75,6,"#600787"
"3","Built infrastructure & technology",4542,0.4,5,0.0314802364829742,1.68411274050251e-13,6,"#600787"
"4","Built infrastructure & technology",3377,0.6,7,0.0297551390834677,3.83350186517872e-07,6,"#600787"
"5","Built infrastructure & technology",2270,0.8,9,0.0271791187739464,6.09299602736759e-64,6,"#600787"
"6","Built infrastructure & technology",3895,0.5,6,0.0304777852548553,1,6,"#600787"
"7","Built infrastructure & technology",2835,0.7,8,0.0285769005906901,2.05823459319804e-28,6,"#600787"
"8","Built infrastructure & technology",5604,0.1,2,0.0315409120073843,5.99773157925968e-74,6,"#600787"
"9","Built infrastructure & technology",5289,0.3,4,0.0323484260035107,6.27713626832152e-63,6,"#600787"
"10","Built infrastructure & technology",1544,0.9,10,0.0249737161342499,1.18298340203327e-118,6,"#600787"
"11","CO2 removal or storage",24554,0.8,9,0.293989463601533,6.09299602736759e-64,2,"#0688c2"
"12","CO2 removal or storage",50208,0,1,0.282584958969799,5.99773157925968e-74,2,"#0688c2"
"13","CO2 removal or storage",18421,0.9,10,0.297953902143146,1.18298340203327e-118,2,"#0688c2"
"14","CO2 removal or storage",32819,0.6,7,0.2891720194197,3.83350186517872e-07,2,"#0688c2"
"15","CO2 removal or storage",46175,0.3,4,0.282414174836851,6.27713626832152e-63,2,"#0688c2"
"16","CO2 removal or storage",50135,0.2,3,0.282528698063127,2.72821161847402e-75,2,"#0688c2"
"17","CO2 removal or storage",41075,0.4,5,0.284687519493211,1.68411274050251e-13,2,"#0688c2"
"18","CO2 removal or storage",50208,0.1,2,0.282584958969799,5.99773157925968e-74,2,"#0688c2"
"19","CO2 removal or storage",36696,0.5,6,0.287140643828542,1,2,"#0688c2"
"20","CO2 removal or storage",28906,0.7,8,0.29137350563474,2.05823459319804e-28,2,"#0688c2"
"21","Conservation",2659,0.8,9,0.0318366858237548,6.09299602736759e-64,4,"#078257"
"22","Conservation",1737,0.9,10,0.0280954306510311,1.18298340203327e-118,4,"#078257"
"23","Conservation",4141,0.6,7,0.0364868317869825,3.83350186517872e-07,4,"#078257"
"24","Conservation",7921,0.1,2,0.0445816495379178,5.99773157925968e-74,4,"#078257"
"25","Conservation",7921,0,1,0.0445816495379178,5.99773157925968e-74,4,"#078257"
"26","Conservation",3409,0.7,8,0.0343628409572002,2.05823459319804e-28,4,"#078257"
"27","Conservation",5986,0.4,5,0.0414884842772091,1.68411274050251e-13,4,"#078257"
"28","Conservation",7199,0.3,4,0.0440303117412126,6.27713626832152e-63,4,"#078257"
"29","Conservation",7919,0.2,3,0.0446264039086847,2.72821161847402e-75,4,"#078257"
"30","Conservation",4960,0.5,6,0.0388112490023318,1,4,"#078257"
"31","Human-assisted evolution",4141,0.6,7,0.0364868317869825,3.83350186517872e-07,5,"#43b08a"
"32","Human-assisted evolution",3409,0.7,8,0.0343628409572002,2.05823459319804e-28,5,"#43b08a"
"33","Human-assisted evolution",1737,0.9,10,0.0280954306510311,1.18298340203327e-118,5,"#43b08a"
"34","Human-assisted evolution",2659,0.8,9,0.0318366858237548,6.09299602736759e-64,5,"#43b08a"
"35","Human-assisted evolution",4960,0.5,6,0.0388112490023318,1,5,"#43b08a"
"36","Human-assisted evolution",5986,0.4,5,0.0414884842772091,1.68411274050251e-13,5,"#43b08a"
"37","Human-assisted evolution",7921,0.1,2,0.0445816495379178,5.99773157925968e-74,5,"#43b08a"
"38","Human-assisted evolution",7921,0,1,0.0445816495379178,5.99773157925968e-74,5,"#43b08a"
"39","Human-assisted evolution",7919,0.2,3,0.0446264039086847,2.72821161847402e-75,5,"#43b08a"
"40","Human-assisted evolution",7199,0.3,4,0.0440303117412126,6.27713626832152e-63,5,"#43b08a"
"41","Increase efficiency",41075,0.4,5,0.284687519493211,1.68411274050251e-13,3,"#9ed7f0"
"42","Increase efficiency",28906,0.7,8,0.29137350563474,2.05823459319804e-28,3,"#9ed7f0"
"43","Increase efficiency",32819,0.6,7,0.2891720194197,3.83350186517872e-07,3,"#9ed7f0"
"44","Increase efficiency",36696,0.5,6,0.287140643828542,1,3,"#9ed7f0"
"45","Increase efficiency",50135,0.2,3,0.282528698063127,2.72821161847402e-75,3,"#9ed7f0"
"46","Increase efficiency",18421,0.9,10,0.297953902143146,1.18298340203327e-118,3,"#9ed7f0"
"47","Increase efficiency",24554,0.8,9,0.293989463601533,6.09299602736759e-64,3,"#9ed7f0"
"48","Increase efficiency",46175,0.3,4,0.282414174836851,6.27713626832152e-63,3,"#9ed7f0"
"49","Increase efficiency",50208,0,1,0.282584958969799,5.99773157925968e-74,3,"#9ed7f0"
"50","Increase efficiency",50208,0.1,2,0.282584958969799,5.99773157925968e-74,3,"#9ed7f0"
"51","Marine renewable energy",50135,0.2,3,0.282528698063127,2.72821161847402e-75,1,"#026996"
"52","Marine renewable energy",41075,0.4,5,0.284687519493211,1.68411274050251e-13,1,"#026996"
"53","Marine renewable energy",24554,0.8,9,0.293989463601533,6.09299602736759e-64,1,"#026996"
"54","Marine renewable energy",36696,0.5,6,0.287140643828542,1,1,"#026996"
"55","Marine renewable energy",28906,0.7,8,0.29137350563474,2.05823459319804e-28,1,"#026996"
"56","Marine renewable energy",32819,0.6,7,0.2891720194197,3.83350186517872e-07,1,"#026996"
"57","Marine renewable energy",46175,0.3,4,0.282414174836851,6.27713626832152e-63,1,"#026996"
"58","Marine renewable energy",50208,0,1,0.282584958969799,5.99773157925968e-74,1,"#026996"
"59","Marine renewable energy",18421,0.9,10,0.297953902143146,1.18298340203327e-118,1,"#026996"
"60","Marine renewable energy",50208,0.1,2,0.282584958969799,5.99773157925968e-74,1,"#026996"
"61","Socio-institutional",5604,0,1,0.0315409120073843,5.99773157925968e-74,7,"#ad5ad1"
"62","Socio-institutional",3377,0.6,7,0.0297551390834677,3.83350186517872e-07,7,"#ad5ad1"
"63","Socio-institutional",2270,0.8,9,0.0271791187739464,6.09299602736759e-64,7,"#ad5ad1"
"64","Socio-institutional",5604,0.2,3,0.0315805489966244,2.72821161847402e-75,7,"#ad5ad1"
"65","Socio-institutional",4542,0.4,5,0.0314802364829742,1.68411274050251e-13,7,"#ad5ad1"
"66","Socio-institutional",5604,0.1,2,0.0315409120073843,5.99773157925968e-74,7,"#ad5ad1"
"67","Socio-institutional",5289,0.3,4,0.0323484260035107,6.27713626832152e-63,7,"#ad5ad1"
"68","Socio-institutional",3895,0.5,6,0.0304777852548553,1,7,"#ad5ad1"
"69","Socio-institutional",2835,0.7,8,0.0285769005906901,2.05823459319804e-28,7,"#ad5ad1"
"70","Socio-institutional",1544,0.9,10,0.0249737161342499,1.18298340203327e-118,7,"#ad5ad1"
