"","oro_branch","oro_type","ecosystem_type","adapt_to_threat","n_articles","total_coastEco","percent_articles","total_All","percent_All","coastEcoFraction","percent_articles_cut","coastEcoFraction_cut","bi_class"
"1","Mitigation","Marine renewable energy","Mangrove","Human",2,35,5.71428571428571,25093,0.00797035029689555,0.00139481130195672,"(2.28,9.12]","[0.00139,0.009]","2-1"
"2","Mitigation","Marine renewable energy","Seagrass","Human",1,35,2.85714285714286,25093,0.00398517514844777,0.00139481130195672,"(2.28,9.12]","[0.00139,0.009]","2-1"
"3","Mitigation","Marine renewable energy","Coral reef","Human",2,35,5.71428571428571,25093,0.00797035029689555,0.00139481130195672,"(2.28,9.12]","[0.00139,0.009]","2-1"
"4","Mitigation","CO2 removal or storage","Mangrove","Human",5,1128,0.443262411347518,7706,0.0648845055800675,0.146379444588632,"[0,2.28]","(0.0116,0.146]","1-3"
"5","Mitigation","CO2 removal or storage","Seagrass","Human",0,1128,0,7706,0,0.146379444588632,"[0,2.28]","(0.0116,0.146]","1-1"
"6","Mitigation","CO2 removal or storage","Coral reef","Human",0,1128,0,7706,0,0.146379444588632,"[0,2.28]","(0.0116,0.146]","1-1"
"7","Natural resilience","Conservation","Mangrove","Human",171,1641,10.4204753199269,4824,3.54477611940298,0.340174129353234,"(9.12,26]","(0.146,0.34]","3-4"
"8","Natural resilience","Conservation","Seagrass","Human",34,1641,2.07190737355271,4824,0.704809286898839,0.340174129353234,"[0,2.28]","(0.146,0.34]","1-4"
"9","Natural resilience","Conservation","Coral reef","Human",57,1641,3.47349177330896,4824,1.18159203980099,0.340174129353234,"(2.28,9.12]","(0.146,0.34]","2-4"
"10","Natural resilience","Human-assisted evolution","Seagrass","Human",0,207,0,274,0,0.755474452554745,"[0,2.28]","(0.34,0.755]","1-1"
"11","Natural resilience","Human-assisted evolution","Coral reef","Human",0,207,0,274,0,0.755474452554745,"[0,2.28]","(0.34,0.755]","1-1"
"12","Societal adaptation","Built infrastructure & technology","Mangrove","Human",8,35,22.8571428571429,3891,0.205602672834747,0.00899511693652017,"(9.12,26]","[0.00139,0.009]","3-1"
"13","Societal adaptation","Built infrastructure & technology","Seagrass","Human",6,35,17.1428571428571,3891,0.15420200462606,0.00899511693652017,"(9.12,26]","[0.00139,0.009]","3-1"
"14","Societal adaptation","Built infrastructure & technology","Coral reef","Human",18,35,51.4285714285714,3891,0.46260601387818,0.00899511693652017,"(47.1,90.3]","[0.00139,0.009]","5-1"
"15","Societal adaptation","Socio-institutional","Mangrove","Human",5,27,18.5185185185185,2337,0.213949507916132,0.0115532734274711,"(9.12,26]","(0.009,0.0116]","3-2"
"16","Societal adaptation","Socio-institutional","Seagrass","Human",3,27,11.1111111111111,2337,0.128369704749679,0.0115532734274711,"(9.12,26]","(0.009,0.0116]","3-2"
"17","Societal adaptation","Socio-institutional","Coral reef","Human",16,27,59.2592592592593,2337,0.684638425331622,0.0115532734274711,"(47.1,90.3]","(0.009,0.0116]","5-2"
"18","Mitigation","Marine renewable energy","Mangrove","Nature",0,35,0,25093,0,0.00139481130195672,"[0,2.28]","[0.00139,0.009]","1-1"
"19","Mitigation","Marine renewable energy","Seagrass","Nature",1,35,2.85714285714286,25093,0.00398517514844777,0.00139481130195672,"(2.28,9.12]","[0.00139,0.009]","2-1"
"20","Mitigation","Marine renewable energy","Coral reef","Nature",18,35,51.4285714285714,25093,0.0717331526720599,0.00139481130195672,"(47.1,90.3]","[0.00139,0.009]","5-1"
"21","Mitigation","CO2 removal or storage","Mangrove","Nature",603,1128,53.4574468085106,7706,7.82507137295614,0.146379444588632,"(47.1,90.3]","(0.0116,0.146]","5-3"
"22","Mitigation","CO2 removal or storage","Seagrass","Nature",329,1128,29.1666666666667,7706,4.26940046716844,0.146379444588632,"(26,47.1]","(0.0116,0.146]","4-3"
"23","Mitigation","CO2 removal or storage","Coral reef","Nature",36,1128,3.19148936170213,7706,0.467168440176486,0.146379444588632,"(2.28,9.12]","(0.0116,0.146]","2-3"
"24","Natural resilience","Conservation","Mangrove","Nature",566,1641,34.4911639244363,4824,11.7330016583748,0.340174129353234,"(26,47.1]","(0.146,0.34]","4-4"
"25","Natural resilience","Conservation","Seagrass","Nature",221,1641,13.4673979280926,4824,4.58126036484245,0.340174129353234,"(9.12,26]","(0.146,0.34]","3-4"
"26","Natural resilience","Conservation","Coral reef","Nature",700,1641,42.6569165143205,4824,14.5107794361526,0.340174129353234,"(26,47.1]","(0.146,0.34]","4-4"
"27","Natural resilience","Human-assisted evolution","Seagrass","Nature",20,207,9.66183574879227,274,7.2992700729927,0.755474452554745,"(9.12,26]","(0.34,0.755]","3-5"
"28","Natural resilience","Human-assisted evolution","Coral reef","Nature",187,207,90.3381642512077,274,68.2481751824817,0.755474452554745,"(47.1,90.3]","(0.34,0.755]","5-5"
"29","Societal adaptation","Built infrastructure & technology","Mangrove","Nature",2,35,5.71428571428571,3891,0.0514006682086867,0.00899511693652017,"(2.28,9.12]","[0.00139,0.009]","2-1"
"30","Societal adaptation","Built infrastructure & technology","Seagrass","Nature",3,35,8.57142857142857,3891,0.0771010023130301,0.00899511693652017,"(2.28,9.12]","[0.00139,0.009]","2-1"
"31","Societal adaptation","Built infrastructure & technology","Coral reef","Nature",12,35,34.2857142857143,3891,0.30840400925212,0.00899511693652017,"(26,47.1]","[0.00139,0.009]","4-1"
"32","Societal adaptation","Socio-institutional","Mangrove","Nature",1,27,3.7037037037037,2337,0.0427899015832264,0.0115532734274711,"(2.28,9.12]","(0.009,0.0116]","2-2"
"33","Societal adaptation","Socio-institutional","Seagrass","Nature",1,27,3.7037037037037,2337,0.0427899015832264,0.0115532734274711,"(2.28,9.12]","(0.009,0.0116]","2-2"
"34","Societal adaptation","Socio-institutional","Coral reef","Nature",11,27,40.7407407407407,2337,0.47068891741549,0.0115532734274711,"(26,47.1]","(0.009,0.0116]","4-2"
