"","oro_branch","oro_type","ecosystem_type","n_articles","total_coastEco","percent_articles","total_All","percent_All","coastEcoFraction","percent_articles_cut","coastEcoFraction_cut","bi_class"
"1","Mitigation","Marine renewable energy","Salt marsh",0,35,0,25093,0,0.00139481130195672,"[0,2.28]","[0.00139,0.009]","1-1"
"2","Mitigation","Marine renewable energy","Mangrove",2,35,5.71428571428571,25093,0.00797035029689555,0.00139481130195672,"(2.28,9.12]","[0.00139,0.009]","2-1"
"3","Mitigation","Marine renewable energy","Seagrass",2,35,5.71428571428571,25093,0.00797035029689555,0.00139481130195672,"(2.28,9.12]","[0.00139,0.009]","2-1"
"4","Mitigation","Marine renewable energy","Coral reef",15,35,42.8571428571429,25093,0.0597776272267166,0.00139481130195672,"(26,47.1]","[0.00139,0.009]","4-1"
"5","Mitigation","CO2 removal or storage","Salt marsh",0,1128,0,7706,0,0.146379444588632,"[0,2.28]","(0.0116,0.146]","1-1"
"6","Mitigation","CO2 removal or storage","Mangrove",698,1128,61.8794326241135,7706,9.05787697897742,0.146379444588632,"(47.1,90.3]","(0.0116,0.146]","5-3"
"7","Mitigation","CO2 removal or storage","Seagrass",360,1128,31.9148936170213,7706,4.67168440176486,0.146379444588632,"(26,47.1]","(0.0116,0.146]","4-3"
"8","Mitigation","CO2 removal or storage","Coral reef",28,1128,2.4822695035461,7706,0.363353231248378,0.146379444588632,"(2.28,9.12]","(0.0116,0.146]","2-3"
"9","Natural resilience","Conservation","Salt marsh",0,1641,0,4824,0,0.340174129353234,"[0,2.28]","(0.146,0.34]","1-1"
"10","Natural resilience","Conservation","Mangrove",197,1641,12.0048750761731,4824,4.08374792703151,0.340174129353234,"(9.12,26]","(0.146,0.34]","3-4"
"11","Natural resilience","Conservation","Seagrass",59,1641,3.59536867763559,4824,1.22305140961857,0.340174129353234,"(2.28,9.12]","(0.146,0.34]","2-4"
"12","Natural resilience","Conservation","Coral reef",33,1641,2.0109689213894,4824,0.68407960199005,0.340174129353234,"[0,2.28]","(0.146,0.34]","1-4"
"13","Natural resilience","Human-assisted evolution","Salt marsh",0,207,0,274,0,0.755474452554745,"[0,2.28]","(0.34,0.755]","1-1"
"14","Natural resilience","Human-assisted evolution","Mangrove",0,207,0,274,0,0.755474452554745,"[0,2.28]","(0.34,0.755]","1-1"
"15","Natural resilience","Human-assisted evolution","Seagrass",2,207,0.966183574879227,274,0.72992700729927,0.755474452554745,"[0,2.28]","(0.34,0.755]","1-5"
"16","Natural resilience","Human-assisted evolution","Coral reef",7,207,3.38164251207729,274,2.55474452554745,0.755474452554745,"(2.28,9.12]","(0.34,0.755]","2-5"
"17","Societal adaptation","Built infrastructure & technology","Salt marsh",0,35,0,3891,0,0.00899511693652017,"[0,2.28]","[0.00139,0.009]","1-1"
"18","Societal adaptation","Built infrastructure & technology","Mangrove",0,35,0,3891,0,0.00899511693652017,"[0,2.28]","[0.00139,0.009]","1-1"
"19","Societal adaptation","Built infrastructure & technology","Seagrass",0,35,0,3891,0,0.00899511693652017,"[0,2.28]","[0.00139,0.009]","1-1"
"20","Societal adaptation","Built infrastructure & technology","Coral reef",0,35,0,3891,0,0.00899511693652017,"[0,2.28]","[0.00139,0.009]","1-1"
"21","Societal adaptation","Socio-institutional","Salt marsh",0,27,0,2337,0,0.0115532734274711,"[0,2.28]","(0.009,0.0116]","1-1"
"22","Societal adaptation","Socio-institutional","Mangrove",0,27,0,2337,0,0.0115532734274711,"[0,2.28]","(0.009,0.0116]","1-1"
"23","Societal adaptation","Socio-institutional","Seagrass",0,27,0,2337,0,0.0115532734274711,"[0,2.28]","(0.009,0.0116]","1-1"
"24","Societal adaptation","Socio-institutional","Coral reef",0,27,0,2337,0,0.0115532734274711,"[0,2.28]","(0.009,0.0116]","1-1"
